what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729988
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729989
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343729990
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729990
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729990
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343729991
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729991
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729992
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343729993
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729994
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729994
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343729995
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729995
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343729996
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343730179
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730179
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730179
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343730181
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730181
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730181
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343730182
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730183
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730183
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1308343730185
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730185
error,log,,,"Failed to update callback: org.eclipse.ui.navigate.showIn",1308343730186
